,zh,en,ru
开始游戏,开始游戏,Start Game,Начинаем игру.
设置,设置,Setting,настройк
选择关卡,选择关卡,Select level,Начинаем игру.
音量：,音量：,Volume：,Начинаем игру.
返回,返回,Return,Начинаем игру.
不妨试试拖动鼠标,不妨试试拖动鼠标,Try dragging the mouse,Начинаем игру.
空格自杀,空格自杀,Blank suicide,Начинаем игру.
主页,主页,Homepage,Начинаем игру.
选择菜单,选择菜单,Selection Menu,Начинаем игру.
加载中。。。,加载中......,Loading......,Начинаем игру.
中文,中文,Chinese,Начинаем игру.
English,English,English,Начинаем игру.
Language:,Language:,语言：,Начинаем игру.
当前海拔：,当前海拔:,Current altitude：,Начинаем игру.
向上攀升的欲望会让你云步天梯，但也会成为困住你的囚笼。,向上攀升的欲望会让你云步天梯，但也会成为困住你的囚笼。,The desire to rise can lead you through the ladder to the sky， but it can also become a cage that traps you.,Начинаем игру.
hhhhh,hhhhh,88888,Начинаем игру.
测试,测试哈,test,настройк
